movieId,id
16,524
11,9087
7,11860
1,862
12,12110
17,4584
2,8844
13,21032
18,5
10,710
5,11862
14,10858
19,9273
3,15602
6,949
15,1408
9,9091
22,1710
20,11517
27,9263
24,12665
21,8012
25,451
31,9909
32,63
29,902
23,9691
36,687
38,33689
34,9598
42,11443
39,9603
44,9312
47,807
48,10530
45,577
52,11448
50,629
58,11010
61,17182
60,11359
63,10607
62,2054
65,9536
71,11859
68,4482
70,755
72,28387
69,10634
76,9102
79,9623
78,27526
81,400
88,13997
86,10534
87,17414
89,2086
92,9095
94,9283
93,12158
95,9208
97,406
101,13685
105,688
100,11062
104,9614
107,10874
111,103
110,197
112,33542
125,2074
123,11104
132,11863
135,9101
141,11000
145,9737
147,10474
140,9302
151,11780
152,34996
157,1775
150,568
159,20649
161,8963
153,414
163,8068
164,8512
165,1572
168,6520
158,8839
160,10329
172,9886
166,13552
169,9073
176,9071
170,10428
173,9482
180,2293
181,9070
175,9344
185,1642
186,11472
177,8973
188,11980
191,10533
190,32646
193,10802
198,281
194,10149
195,18402
202,36834
196,9348
203,9090
208,9804
207,9560
204,3512
215,76
216,11017
220,18256
219,6715
218,9382
230,11929
232,10451
236,397
239,15789
241,21183
250,14819
246,14275
260,11
257,9061
259,6071
262,19101
267,11008
280,8438
292,6950
293,101
303,12106
296,680
307,108
306,110
318,278
326,31439
327,9067
328,9059
333,11381
337,1587
332,12122
339,2064
338,9271
356,13
353,9495
358,16295
364,8587
407,2654
431,6075
428,1607
446,10997
468,10612
475,7984
480,329
493,9516
494,2320
508,9800
527,424
541,78
553,11969
555,319
551,9479
562,11446
585,9066
590,581
589,280
588,812
595,10020
593,274
599,576
605,7300
606,10824
608,275
609,25059
617,4307
611,8766
613,47333
627,12520
632,38884
631,19042
628,1592
637,9099
640,10988
647,10684
648,954
653,8840
659,10363
662,10543
661,10539
665,11902
671,3065
670,896
668,5801
673,2300
691,40001
694,20762
704,9103
707,10990
711,36355
708,8866
714,922
719,9304
724,9100
733,9802
736,664
737,11867
741,9323
743,10535
745,532
742,10280
750,935
748,10547
761,9826
762,9879
765,7095
782,9566
780,602
781,14553
778,627
785,11543
783,10545
784,9894
788,9327
786,9268
798,11228
805,1645
804,11363
799,10779
800,26748
802,9294
810,11511
809,18550
828,18975
830,2925
829,11962
833,9308
832,3595
838,3573
837,10830
836,12123
839,10546
841,31417
842,9431
852,10478
851,549
849,10061
866,9303
858,238
885,3587
879,11015
880,9306
886,10723
891,10987
898,981
902,164
905,3078
903,426
904,567
910,239
899,872
911,4808
908,213
912,289
909,284
916,804
913,963
914,11113
922,599
923,15
920,770
926,705
919,630
930,303
924,62
928,223
943,22292
946,198
947,13562
948,1712
954,3083
953,1585
942,1939
968,10331
971,261
990,10861
991,1770
986,11076
996,9333
998,9400
994,18203
999,9401
1003,11306
1005,10680
1004,9625
1006,6346
1028,433
1035,15121
1034,11229
1036,562
1041,11159
1042,9591
1046,10938
1047,11412
1049,10586
1059,454
1060,10218
1057,9716
1061,819
1080,583
1086,521
1089,500
1090,792
1097,601
1103,221
1104,702
1111,9305
1113,11112
1117,36998
1120,1630
1132,4481
1131,4480
1136,762
1147,10548
1148,531
1168,49763
1172,11216
1178,975
1183,409
1184,38251
1185,10161
1189,14285
1193,510
1197,2493
1196,1891
1192,31225
1203,389
1199,68
1198,85
1204,947
1201,429
1200,679
1206,185
1207,595
1209,335
1210,1892
1208,28
1212,1092
1214,348
1211,144
1218,10835
1217,11645
1222,600
1213,769
1220,525
1219,539
1221,240
1227,311
1225,279
1228,1578
1232,1398
1230,703
1233,387
1235,343
1234,9277
1237,490
1240,218
1248,1480
1250,826
1244,696
1246,207
1251,422
1254,3090
1247,37247
1258,694
1252,829
1259,235
1262,5925
1265,137
1266,33
1260,832
1271,1633
1269,212
1263,11778
1274,149
1267,982
1278,3034
1270,105
1276,903
1283,288
1287,665
1280,10404
1281,914
1284,910
1291,89
1293,783
1298,12104
1289,11314
1292,10322
1304,642
1305,655
1340,229
1348,653
1354,145
1355,2212
1356,199
1353,25189
1357,7863
1358,12498
1365,12709
1359,9279
1366,20539
1367,11674
1363,21539
1387,578
1391,75
1393,9390
1399,9819
1406,1802
1409,2928
1405,3179
1407,4232
1411,10549
1416,8818
1422,9415
1429,9404
1417,36758
1432,8860
1425,12145
1431,9622
1438,9619
1427,34314
1453,17894
1447,12489
1449,16448
1457,1968
1461,11419
1459,66
1466,9366
1464,638
1474,9446
1479,10003
1476,9403
1488,4477
1480,9311
1487,16052
1485,1624
1483,884
1497,9405
1499,9360
1495,6499
1498,12723
1500,9434
1513,9611
1515,10357
1518,2163
1517,816
1526,12499
1527,18
1541,2058
1544,330
1542,9450
1552,1701
1556,1639
1562,415
1566,11970
1569,8874
1573,754
1584,686
1580,607
1586,4421
1589,2142
1590,8413
1592,20737
1588,10603
1593,9413
1595,18519
1591,10336
1597,8834
1598,9458
1603,4961
1599,8854
1605,26180
1604,9416
1609,6072
1608,9772
1619,978
1615,9433
1614,10806
1620,9437
1623,10351
1616,6623
1617,2118
1625,2649
1626,14289
1627,10155
1639,2255
1641,9427
1635,68924
1644,3597
1645,1813
1653,782
1655,9827
1658,8067
1661,10871
1667,9770
1665,1281
1673,4995
1676,563
1672,11975
1682,37165
1680,10215
1681,9823
1686,9407
1688,9444
1693,11831
1687,4824
1689,9414
1690,8078
1703,10371
1702,9574
1707,9714
1704,489
1701,2639
1711,8197
1713,6283
1721,597
1722,714
1717,4233
1726,9922
1727,547
1731,9438
1730,9746
1719,10217
1729,184
1732,115
1746,12538
1735,9410
1752,11258
1747,586
1748,2666
1754,9411
1753,9490
1762,9457
1756,9033
1757,11220
1760,6116
1771,12238
1779,10153
1769,11702
1772,11568
1777,11003
1784,2898
1792,11808
1798,17941
1801,9313
1805,617
1806,36568
1799,10668
