MovieLens_id,id,TMDB_id,title,genres,overview,score,release_date,runtime,tagline,vote_average,vote_count,popularity,cast,director,keywords,poster_path,backdrop_path
221850,0,614696,#Vivo,"['Acción', 'Terror', 'Ciencia ficción']","La rápida propagación de una infección desconocida ha dejado a toda una ciudad en un caos ingobernable, pero un sobreviviente sigue vivo aislado. Esta es su historia.",7.220983888297339,2020-06-24,98,,7.218,1971,8.3511,"['Yoo Ah-in', 'Park Shin-hye', 'Lee Hyun-wook']",Cho Il,"['escape', 'alone', 'survival', 'drone', 'zombie', 'apartment building', 'zombie apocalypse', 'virus', 'live stream', 'south korea', 'apartment', 'frightened']",/tmGOSFUjCjWJ6ASxfCbCjEyamx.jpg,/k2SY15W9QXH9qL8f4a4BbytV1BE.jpg
117867,1,252178,'71,"['Suspense', 'Acción', 'Drama', 'Bélica']","Corre el año 1971, y la tensión social en Irlanda del Norte está escalando hacia una situación casi de guerra civil. Tras un motín y un enfrentamiento muy violento entre vecinos de un barrio y el ejército, un joven soldado británico con poca experiencia, Gary, se extravía en las peligrosas calles de Belfast, donde el conflicto del IRA está en plena ebullición, y donde patrullan unidades paramilitares y bandas radicales callejeras.",6.822391240032814,2014-10-10,99,,6.805,1175,1.9949,"[""Jack O'Connell"", 'Sean Harris', 'Paul Anderson']",Yann Demange,"['1970s', 'riot', 'northern ireland', 'survival', 'soldier', 'ira (irish republican army)', 'explosion', 'combat', 'belfast, north ireland', 'abandoned']",/mdychWI794HVjCjeJjAk3FdJgeq.jpg,/aTloiKdNs2c8vlstbx3wBWD6Thi.jpg
69757,2,19913,(500) días con ella,"['Comedia', 'Drama', 'Romance']","Tom aún sigue creyendo, incluso en este cínico mundo moderno, en la noción de un amor transformador, predestinado por el cosmos y que golpea como un rayo sólo una vez. Summer no cree lo mismo, para nada. La mecha se enciende desde el primer día, cuando Tom, un arquitecto en ciernes convertido en un sensiblero escritor de tarjetas de felicitación, se encuentra con Summer, la bella y fresca nueva secretaria de su jefe. Aunque aparentemente está fuera de su alcance, Tom pronto descubre que tienen un montón de cosas en común. La historia de Tom y Summer cubre desde el enamoramiento, las citas y el sexo hasta la separación, las recriminaciones y la redención, todo lo cual se suma al caleidoscópico retrato del porqué y el cómo seguimos esforzándonos de modo tan risible y rastrero para encontrar sentido al amor… y esperar convertirlo en realidad.",7.295363072144742,2009-07-17,95,"Él encontró el amor de su vida, ella no.",7.3,10748,10.1919,"['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Geoffrey Arend']",Marc Webb,"['jealousy', 'gallery', 'fight', 'date', 'architect', 'interview', 'sister', 'love', 'friends', 'fate', 'los angeles, california', 'summer', 'year', 'heartache', 'assertive']",/xziurNdvxWZkgonZ5ZaGRB9YdLt.jpg,/1M2i4Mxd03elGOTmEkIvqrHfmyS.jpg
152077,3,333371,Avenida Cloverfield 10,"['Suspense', 'Ciencia ficción', 'Drama', 'Terror']","Una joven sufre un accidente de coche. Cuando despierta se encuentra encerrada en una celda bajo tierra, secuestrada por un hombre extraño que dice haberla salvado del día del juicio final. El excéntrico captor asegura que el exterior es inhabitable por culpa de un terrible ataque químico, algo que no sabe si creer. Es así como comienza su pesadilla, en una espiral de desconocimiento. La mente del criminal es infranqueable, y ella tendrá que intentar analizar a su enemigo para conseguir sobrevivir.",6.993529381064804,2016-03-10,103,Los monstruos vienen en muchas formas.,7.0,8411,8.0165,"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.']",Dan Trachtenberg,"['kidnapping', 'paranoia', 'bunker', 'basement', 'survivalist', 'apocalypse', 'car accident', 'captive']",/zDdmGyJ2uTYscOz1bVslQTPrp1a.jpg,/sWjfx6KuENXi76yVc4bkl18jtBI.jpg
2572,4,4951,10 cosas que odio de ti,"['Comedia', 'Romance', 'Drama']","Las hermanas Stratford son muy distintas. La bella y popular Bianca nunca ha salido con un chico, pero lo está deseando, y Kat, su hermana mayor, es arisca y con mal genio. Su padre no deja que Bianca tenga novio hasta que Kat consiga uno.",7.59296810576968,1999-03-30,97,¿Por qué te detesto? Déjame Contarte,7.59,8675,13.6231,"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt']",Gil Junger,"['high school', 'deception', 'based on play or musical', 'coming of age', 'teen movie', 'shrew', ""valentine's day"", 'shakespeare in modern dress', 'opposites attract', 'duringcreditsstinger', 'teenage romance', 'overprotective father']",/ckKmeIh1yo4AMvNUsa2E6NGpBgj.jpg,/4ssWRanWTKN9CQ0tfq5S1whP7tr.jpg
166312,5,402693,100 metros,"['Comedia', 'Drama']","Ramón es un padre de familia treintañero que es diagnosticado de esclerosis múltiple. Aunque los médicos le aseguran que no sería capaz de caminar ni cien metros, decide plantarle cara a la vida y entrenar para un Ironman, la prueba deportiva más dura del planeta. Con la ayuda de su mujer y el gruñón de su suegro, Ramón se someterá a un peculiar entrenamiento para demostrar al mundo que rendirse no es una opción.",7.362527713966481,2016-11-04,108,,7.367,301,4.4882,"['Dani Rovira', 'Alexandra Jiménez', 'Karra Elejalde']",Marcel Barrena,"['sports', 'biography', 'based on true story', 'blindfold', 'swimming', 'disability', 'multiple sclerosis']",/3tSFaWi4CGnwBMYD429ocKVeoIM.jpg,/eduYYQSmT4NLQlNhsrU9BdSPTFm.jpg
27674,6,9282,11 14 Hora de Morir,"['Suspense', 'Comedia', 'Crimen']","Es una noche tranquila en Middleton, un barrio de clase media. Pero a medida que la noche se aproxima a la fatídica hora de las 11:14 p.m., una serie de sucesos empezarán a ocurrir, con letales consecuencias. En la autopista, Jack, un conductor borracho atropella a un joven con su coche... Un tiroteo en una tienda de conveniencia deja herida a la dependienta, Buzzy. Pero más tarde será arrestada por estar involucrada en el crimen... En el cementerio local, Frank, un padre muy protector, intenta hacerse pasar por culpable de un crimen que no cometió... En los alrededores, tres adolescentes aburridos conducen una camioneta de forma imprudente, haciendo tonterías y lanzando objetos contra otros vehículos. Pero antes de que acabe la noche, habrán aprendido que el gamberrismo ciego también puede tener consecuencias dolorosas, y hasta mortales.",6.827067909623432,2003-09-05,86,,6.797,916,1.9879,"['Rachael Leigh Cook', 'Ben Foster', 'Clark Gregg']",Greg Marcks,"['robbery', 'police', 'ambulance', 'chase', 'alcohol', 'gun', 'vandalism', 'arrest', 'cop', 'murder', 'crash', 'connected', 'frantic', 'absurd', 'suspenseful', 'bewildered', 'farcical']",/sI4eDNt4aH7AEyKKDGFnWvm55DO.jpg,/72jbXJIXiGdLzrqfbKynVhtnl5b.jpg
77846,7,12219,12 Angry Men,"['Drama', 'Película de TV']",,7.630160431691649,1997-08-17,117,,7.683,415,3.8901,"['Courtney B. Vance', 'Ossie Davis', 'George C. Scott']",William Friedkin,"['death penalty', 'right and justice', 'court', 'judge', 'jurors', 'revelation', 'trial', 'jury', 'remake', 'lawyer', 'argument', 'xenophobia', 'judicial system']",/rnQb5AHAQQjS9hrfJ37dODukz8U.jpg,/rTf1rucbSn8IaW4AU11lvBk3JmX.jpg
252184,8,625169,Espíritu de lucha,"['Historia', 'Drama', 'Acción']","12 Mighty Orphans cuenta la historia real de los Mighty Mites, el equipo de fútbol de un orfanato de Fort Worth que, durante la Gran Depresión, pasó de jugar sin zapatos, o incluso una pelota de fútbol, a jugar en los campeonatos estatales de Texas. En el transcurso de su temporada ganadora, estos desamparados y su espíritu resistente se convirtieron en una inspiración para su ciudad, estado y toda una nación que necesitaba un repunte, incluso captando la atención del presidente Franklin D. Roosevelt.",7.164195022222222,2021-06-18,118,Basado en la historia real del equipo que inspiró a una nación.,7.154,246,1.6419,"['Luke Wilson', 'Vinessa Shaw', 'Wayne Knight']",Ty Roberts,"['underdog', 'based on novel or book', 'sports', 'war veteran', 'american football', 'orphanage', 'american football coach', 'great depression', 'based on true story', 'flashback', 'orphan', 'child labor', 'inspiring story', 'dust bowl', 'aftercreditsstinger', '1940s', '1930s', 'group home']",/70vyk5XzrHRPH9VfbEQxh9FIvE3.jpg,/eg6cyUItUFSBi8ohc9sjehqpJi2.jpg
105844,9,76203,12 Años de Esclavitud,"['Drama', 'Historia']","En los Estados Unidos de antes de la guerra, Solomon Northup, un hombre negro libre del norte del estado de Nueva York, es secuestrado y vendido como esclavo.",7.93487897140891,2013-10-18,135,La extraordinaria historia de Solomon Northup,7.935,11738,8.2755,"['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o""]",Steve McQueen,"['slavery', 'plantation', 'based on memoir or autobiography', 'violin player', 'physical abuse', 'black slave', 'usa history', 'slave owner', '19th century', 'sold into slavery', 'abolitionist', 'landowner', 'abuse of power', 'african american history']",/1OoCd3fmjPHt9iCR4QxNGGrDyI0.jpg,/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg
